timestamp,strategy,result,signal_action,order_action,side,quantity,contract_code,h_position_timestamp,h_side,h_entry_price,h_unrealized_points,signal_reason,broker_status,broker_order_id,broker_message,broker_trade,error
2026-06-10 19:49:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1069.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:50:07,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1074.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:51:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1022.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:52:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-960.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:53:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-968.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:54:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1008.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:55:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1015.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:56:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-987.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:57:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1042.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:58:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1033.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:59:03,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1030.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:00:09,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1023.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:01:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1018.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:02:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1036.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:03:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1013.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:04:03,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-973.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:05:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-981.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:06:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-882.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:07:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-921.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:08:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-982.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:09:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1001.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:10:07,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1019.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:11:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1024.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:12:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1010.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:13:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1006.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 20:14:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-946.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
